vendor_guid,object_type,title,description,display_name,calculation_method,calculation_int,workflow_state,parent_guids,ratings
2.5.4,group,   Cập nhật trong lĩnh vực kỹ thuật (38),,2.5.4,,,,2.5,
2.5.4_a,outcome,  So sánh các tác động tiềm năng của những khám phá khoa học mới {aE2},,2.5.4_a,,,,2.5.4,
2.5.4_b,outcome,  So sánh tác động xã hội và kỹ thuật của các công nghệ và sáng kiến mới {aE2},,2.5.4_b,,,,2.5.4,
2.5.4_c,outcome,  Thể hiện sự quen thuộc với thực hành công nghệ đương đại trong kỹ thuật {aS3},,2.5.4_c,,,,2.5.4,
2.5.4_d,outcome,  Trình bày các mối liên kết giữa lý thuyết và thực hành kỹ thuật {aE2},,2.5.4_d,,,,2.5.4,
2.5.5,group,   Công bằng và đa dạng (38),,2.5.5,,,,2.5,
2.5.5_a,outcome,  Thể hiện cam kết đối xử với người khác một cách công bằng {A},,2.5.5_a,,,,2.5.5,
2.5.5_b,outcome,  Bao quát sự đa dạng trong nhóm và đội ngũ làm việc {aS3},,2.5.5_b,,,,2.5.5,
2.5.5_c,outcome,  Thảo luận về sự phục vụ các tầng lớp khác nhau {aS1},,2.5.5_c,,,,2.5.5,
2.5.6,group,   Tin tưởng và trung thành (38),,2.5.6,,,,2.5,
2.5.6_a,outcome,  Thể hiện sự trung thành với đồng nghiệp và đội ngũ của mình {A},,2.5.6_a,,,,2.5.6,
2.5.6_b,outcome,  Thể hiện sự công nhận và nhấn mạnh sự đóng góp của những người khác {A},,2.5.6_b,,,,2.5.6,
2.5.6_c,outcome,  Hiểu và sẵn sàng thảo luận về làm việc để làm cho người khác thành công {A},,2.5.6_c,,,,2.5.6,
2.5.6_d,outcome,,,2.5.6_d,,,,2.5.6,
 3 ,group,  KỸ NĂNG GIAO TIẾP LÀM VIỆC NHÓM VÀ GIAO TIẾP,, 3 ,,,,,
3.1,group,  LÀM VIỆC NHÓM (38),,3.1,,,,3,
3.1.1,group,   Tổ chức nhóm hiệu quả (38),,3.1.1,,,,3.1,
3.1.1_a,outcome,  Lên lịch trình các giai đoạn hình thành vòng đời của nhóm {cS5},,3.1.1_a,,,,3.1.1,
3.1.1_b,outcome,  Lựa chọn các nhiệm vụ và các quy trình làm việc nhóm {bS2},,3.1.1_b,,,,3.1.1,
3.1.1_c,outcome,  Xác định vai trò và trách nhiệm của nhóm {cS2},,3.1.1_c,,,,3.1.1,
3.1.1_d,outcome,  Phân tích mục tiêu__COMMA__ nhu cầu và đặc điểm (cách làm việc__COMMA__ sự khác biệt về văn hóa) của từng thành viên nhóm {cE1},,3.1.1_d,,,,3.1.1,
3.1.1_e,outcome,  Phân tích các điểm mạnh và điểm yếu của nhóm và các thành viên {cE1},,3.1.1_e,,,,3.1.1,
3.1.1_f,outcome,  Áp dụng các quy tắc nền tảng về tính bảo mật__COMMA__ trách nhiệm giải trình và sáng kiến của nhóm {aS1},,3.1.1_f,,,,3.1.1,
3.1.2,group,   Hoạt động nhóm (38),,3.1.2,,,,3.1,
3.1.2_a,outcome,  Xác định và lựa chọn các mục tiêu và công việc cần làm {bS2},,3.1.2_a,,,,3.1.2,
3.1.2_b,outcome,  Tiến hành hoạch định và tạo điều kiện cho các cuộc họp có hiệu quả {CP},,3.1.2_b,,,,3.1.2,
3.1.2_c,outcome,  Áp dụng các quy tắc nền tảng của nhóm {bS1},,3.1.2_c,,,,3.1.2,
3.1.2_d,outcome,  Thực hành giao tiếp hiệu quả (lắng nghe__COMMA__ hợp tác__COMMA__ cung cấp và đạt được thông tin một cách chủ động) {CP},,3.1.2_d,,,,3.1.2,
3.1.2_e,outcome,  Thực hiện phản hồi tích cực và hiệu quả {aS3},,3.1.2_e,,,,3.1.2,
3.1.2_f,outcome,  Tiến hành hoạch định__COMMA__ lên chương trình và thực hiện một đề án {CP},,3.1.2_f,,,,3.1.2,
3.1.2_g,outcome,  Lựa chọn các giải pháp cho các vấn đề (tính sáng tạo và ra quyết định của nhóm) {bS2},,3.1.2_g,,,,3.1.2,
3.1.2_h,outcome,  Thảo luận về hòa giải__COMMA__ thương lượng__COMMA__ và giải quyết mâu thuẫn {CP},,3.1.2_h,,,,3.1.2,
3.1.2_i,outcome,  Tiến hành trao quyền cho những người trong nhóm {CP},,3.1.2_i,,,,3.1.2,
3.1.3,group,   Trưởng thành và phát triển của nhóm (38),,3.1.3,,,,3.1,
3.1.3_a,outcome,  Áp dụng các chiến lược cho sự suy ngẫm__COMMA__ đánh giá__COMMA__ và tự đánh giá {aS1},,3.1.3_a,,,,3.1.3,
3.1.3_b,outcome,  Thực hành các kỹ năng cho sự duy trì và phát triển nhóm {cS3},,3.1.3_b,,,,3.1.3,
3.1.3_c,outcome,  Thực hành các kỹ năng cho sự phát triển cá nhân trong nhóm {cS4},,3.1.3_c,,,,3.1.3,
3.1.3_d,outcome,  Sử dụng các chiến lược cho giao tiếp và báo cáo của nhóm {aS4},,3.1.3_d,,,,3.1.3,
3.1.4,group,   Lãnh đạo nhóm (38),,3.1.4,,,,3.1,
3.1.4_a,outcome,  Lựa chọn các mục tiêu và mục đích của nhóm {aS2},,3.1.4_a,,,,3.1.4,
3.1.4_b,outcome,  Thực hành quản trị quá trình làm việc nhóm {CP},,3.1.4_b,,,,3.1.4,
3.1.4_c,outcome,  Tiên hành lãnh đạo và tạo điều kiện (chỉ đạo__COMMA__ huấn luyện__COMMA__ hỗ trợ__COMMA__ phân nhiệm) {CP},,3.1.4_c,,,,3.1.4,
3.1.4_d,outcome,  Thực hiện các cách thức để thúc đẩy (khích lệ__COMMA__ nêu gương__COMMA__ sự công nhận__COMMA__ vv) {aS4},,3.1.4_d,,,,3.1.4,
3.1.4_e,outcome,  Tiến hành giới thiệu nhóm với những người khác {CP},,3.1.4_e,,,,3.1.4,
3.1.4_f,outcome,  Thảo luận về hướng dẫn và cố vấn {CP},,3.1.4_f,,,,3.1.4,
3.1.5,group,   Hợp tác kỹ thuật và đa ngành (38),,3.1.5,,,,3.1,
3.1.5_a,outcome,  Thực hành làm việc trong các loại hình nhóm khác nhau {CP},,3.1.5_a,,,,3.1.5,
3.1.5_b,outcome,   Các nhóm liên ngành (bao gồm phi kỹ thuật),,3.1.5_b,,,,3.1.5,
3.1.5_c,outcome,   Nhóm nhỏ so với nhóm lớn,,3.1.5_c,,,,3.1.5,
3.1.5_d,outcome,   Các môi trường từ xa__COMMA__ phân tán__COMMA__ điện tử,,3.1.5_d,,,,3.1.5,
3.1.5_e,outcome,  Tiến hành hợp tác kỹ thuật với các thành viên trong nhóm {CP},,3.1.5_e,,,,3.1.5,
3.1.5_f,outcome,  Thảo luận về làm việc với các thành viên và các nhóm phi kỹ thuật {CP},,3.1.5_f,,,,3.1.5,
3.2,group,  GIAO TIẾP (38),,3.2,,,,3,
3.2.1,group,   Chiến lược giao tiếp (38),,3.2.1,,,,3.2,
3.2.1_a,outcome,  Phân tích các tình huống giao tiếp {bE1},,3.2.1_a,,,,3.2.1,
3.2.1_b,outcome,   Xác định các mục đích giao tiếp {cS2},,3.2.1_b,,,,3.2.1,
3.2.1_c,outcome,   Phân tích các nhu cầu và đặc điểm của đối tượng giao tiếp {bE1},,3.2.1_c,,,,3.2.1,
3.2.1_d,outcome,   Phân tích các bối cảnh giao tiếp {bE1},,3.2.1_d,,,,3.2.1,
3.2.1_e,outcome,  Chọn chiến lược truyền thông {cS2},,3.2.1_e,,,,3.2.1,
3.2.1_f,outcome,   Chọn các sự kết hợp thích hợp các phương tiện truyền thông {cS2},,3.2.1_f,,,,3.2.1,
3.2.1_g,outcome,   Chọn các hình thức giao tiếp (kiến nghị__COMMA__ phê bình__COMMA__ hợp tác__COMMA__ dẫn chứng tài liệu__COMMA__ giảng dạy) {cS2},,3.2.1_g,,,,3.2.1,
3.2.1_h,outcome,   Xác định nội dung và tổ chức {cS2},,3.2.1_h,,,,3.2.1,
3.2.2,group,   Cấu trúc giao tiếp (38),,3.2.2,,,,3.2,
3.2.2_a,outcome,  Chọn lý lẽ logic và có sức thuyết phục {cS2},,3.2.2_a,,,,3.2.2,
3.2.2_b,outcome,  Sử dụng cấu trúc phù hợp và mối quan hệ giữa các ý tưởng {cS4},,3.2.2_b,,,,3.2.2,
3.2.2_c,outcome,  Chọn các bằng chứng hỗ trợ phù hợp__COMMA__ đáng tin cậy__COMMA__ xác đáng {cS2},,3.2.2_c,,,,3.2.2,
3.2.2_d,outcome,  Sử dụng ngôn ngữ súc tích__COMMA__ quả quyết__COMMA__ chính xác__COMMA__ rõ ràng {aS3},,3.2.2_d,,,,3.2.2,
3.2.2_e,outcome,  Phân tích các yếu tố ngôn từ (ví dụ theo xu hướng người nghe) {cE1},,3.2.2_e,,,,3.2.2,
3.2.2_f,outcome,  Xác định và phân loại các giao tiếp liên ngành và liên văn hóa {cS3},,3.2.2_f,,,,3.2.2,
3.2.3,group,   Giao tiếp bằng văn bản (38),,3.2.3,,,,3.2,
3.2.3_a,outcome,  Thực hiện viết mạch lạc và trôi chảy {CP},,3.2.3_a,,,,3.2.3,
3.2.3_b,outcome,  Thực hiện viết đúng chính tả__COMMA__ chấm câu__COMMA__ và ngữ pháp {CP},,3.2.3_b,,,,3.2.3,
3.2.3_c,outcome,  Tuân theo định dạng văn bản {CP},,3.2.3_c,,,,3.2.3,
3.2.3_d,outcome,  Thực hành viết trong kỹ thuật {CP},,3.2.3_d,,,,3.2.3,
3.2.3_e,outcome,  Trình bàygiải thích về các loại văn bản khác nhau (chính thức và không chính thức__COMMA__ báo cáo__COMMA__ lý lịch__COMMA__ vv) {bS1},,3.2.3_e,,,,3.2.3,
3.2.4,group,   Giao tiếp điện tử đa truyền thông (38),,3.2.4,,,,3.2,
3.2.4_a,outcome,  Thực hành chuẩn bị bài thuyết trình điện tử {CP},,3.2.4_a,,,,3.2.4,
3.2.4_b,outcome,  Áp dụng các chuẩn mực khi sử dụng thư điện tử__COMMA__ lời nhắn__COMMA__ và hội thảo qua video {cS1},,3.2.4_b,,,,3.2.4,
3.2.4_c,outcome,  Áp dụng các hình thức điện tử khác nhau (biểu đồ__COMMA__ trang web__COMMA__ vv) {cS1},,3.2.4_c,,,,3.2.4,
3.2.5,group,   Giao tiếp bằng đồ họa (38),,3.2.5,,,,3.2,
3.2.5_a,outcome,  Thực hiện các bản vẽ phác và bản vẽ {CP},,3.2.5_a,,,,3.2.5,
3.2.5_b,outcome,  Thực hành thiết kế bảng biểu__COMMA__ đồ thị__COMMA__ biểu đồ {CP},,3.2.5_b,,,,3.2.5,
3.2.5_c,outcome,  Giải thích bản vẽ kỹ thuật và tô màu {bE1},,3.2.5_c,,,,3.2.5,
3.2.5_d,outcome,  Thực hành sử dụng các công cụ đồ họa {CP},,3.2.5_d,,,,3.2.5,
3.2.6,group,   Thuyết trình (38),,3.2.6,,,,3.2,
3.2.6_a,outcome,  Thực hành chuẩn bị thuyết trình và phương tiện truyền thông hỗ trợ với ngôn ngữ__COMMA__ hình thức__COMMA__ thời gian__COMMA__ và cấu trúc phù hợp {CP},,3.2.6_a,,,,3.2.6,
3.2.6_b,outcome,  Sử dụng giao tiếp phi ngôn từ thích hợp (cử chỉ__COMMA__ ánh mắt__COMMA__ tư thế) {bS4},,3.2.6_b,,,,3.2.6,
3.2.6_c,outcome,  Thực hành trả lời các câu hỏi một cách hiệu quả {CP},,3.2.6_c,,,,3.2.6,
3.2.7,group,   Yêu cầu thông tin__COMMA__ lắng nghe và đối thoại (38),,3.2.7,,,,3.2,
3.2.7_a,outcome,  Thực hành chú ý lắng nghe mọi người để hiểu rõ {CP},,3.2.7_a,,,,3.2.7,
3.2.7_b,outcome,  Thực hành đặt câu hỏi thận trọng về người khác {CP},,3.2.7_b,,,,3.2.7,
3.2.7_c,outcome,  Thực hiện xử lý các quan điểm khác nhau {CP},,3.2.7_c,,,,3.2.7,
3.2.7_d,outcome,  Thực hiện đối thoại mang tính xây dựng {CP},,3.2.7_d,,,,3.2.7,
3.2.7_e,outcome,  Chấp nhận và sẵn sàng thảo luận về những ý tưởng có thể hay hơn so với của riêng bạn {A},,3.2.7_e,,,,3.2.7,
3.2.8,group,   Đàm phán__COMMA__ thỏa hiệp và giải quyết xung đột (38),,3.2.8,,,,3.2,
3.2.8_a,outcome,  Tiến hành xác định bất đồng__COMMA__ căng thẳng hay xung đột tiềm tàng {CP},,3.2.8_a,,,,3.2.8,
3.2.8_b,outcome,  Thực hành đàm phán để tìm giải pháp chấp nhận được {CP},,3.2.8_b,,,,3.2.8,
3.2.8_c,outcome,  Thực hiện việc đạt được thỏa thuận mà không làm ảnh hưởng đến nguyên tắc cơ bản {CP},,3.2.8_c,,,,3.2.8,
3.2.8_d,outcome,  Thảo luận về khuếch tán xung đột {aS3},,3.2.8_d,,,,3.2.8,
3.2.9,group,   Vận động (38),,3.2.9,,,,3.2,
3.2.9_a,outcome,  Thực hiện giải thích rõ ràng quan điểm của bản thân {CP},,3.2.9_a,,,,3.2.9,
3.2.9_b,outcome,  Tiến hành giải thích cách mà bản thân đạt được một giải thích hoặc kết luận {CP},,3.2.9_b,,,,3.2.9,
3.2.9_c,outcome,  Thực hiện các đánh giá bạn hiểu sâu tới đâu {CP},,3.2.9_c,,,,3.2.9,
3.2.9_d,outcome,  Tiến hành vận động theo đặc điểm của khán giả {CP},,3.2.9_d,,,,3.2.9,
3.2.1,group, 0  Thiết lập những liên kết và mạng liên kết đa dạng (38),,3.2.1,,,,3.2,
3.2.1_a,outcome,  Thực hiện đánh giá những người có kỹ năng__COMMA__ văn hóa hay kinh nghiệm khác nhau {CP},,3.2.1_a,,,,3.2.1,
3.2.1_b,outcome,  Tiến hành thu hút và liên kết các cá nhân khác nhau {CP},,3.2.1_b,,,,3.2.1,
3.2.1_c,outcome,  Tiến hành xây dựng các mạng xã hội mở rộng {CP},,3.2.1_c,,,,3.2.1,
3.2.1_d,outcome,  Tiến hành trang bị và sử dụng các mạng liên kết để đạt được mục tiêu {CP},,3.2.1_d,,,,3.2.1,
3.3,group,  GIAO TIẾP BẰNG NGOẠI NGỮ (36),,3.3,,,,3,
3.3.1,group,   Thực hành giao tiếp bằng tiếng Anh (36) {CP},,3.3.1,,,,3.3,
3.3.2,group,   Hiểu về tầm quan trọng giao tiếp bằng ngôn ngữ khác trong khu vực (36) {CP},,3.3.2,,,,3.3,
3.3.3,group,   Hiểu về tầm quan trọng giao tiếp bằng các ngôn ngữ khác (36) {CP},,3.3.3,,,,3.3,
3.3.3_a,outcome,,,3.3.3_a,,,,3.3.3,
 4 ,group,  HÌNH THÀNH Ý TƯỞNG__COMMA__ THIẾT KẾ__COMMA__ THỰC HIỆN__COMMA__ VÀ VẬN HÀNH TRONG BỐI CẢNH DOANH NGHIỆP__COMMA__ XÃ HỘI VÀ MÔI TRƯỜNG  QUÁ TRÌNH SÁNG TẠO ,, 4 ,,,,,
4.1,group,  BỐI CẢNH BÊN NGOÀI__COMMA__ XÃ HỘI VÀ MÔI TRƯỜNG (32),,4.1,,,,4,
4.1.1,group,   Vai trò và trách nhiệm của người kỹ sư (32),,4.1.1,,,,4.1,
4.1.1_a,outcome,  Thảo luận các mục tiêu và vai trò của ngành nghề kỹ thuật {A},,4.1.1_a,,,,4.1.1,
4.1.1_b,outcome,  Thảo luận các trách nhiệm của kỹ sư đối với xã hội và một tương lai bền vững {A},,4.1.1_b,,,,4.1.1,
4.1.2,group,   Tác động của kỹ thuật đối với xã hội và môi trường (32),,4.1.2,,,,4.1,
4.1.2_a,outcome,  Thảo luận các tác động của kỹ thuật đối với môi trường__COMMA__ các hệ thống xã hội__COMMA__ tri thức và kinh tế trong nền văn hóa hiện đại {aE1},,4.1.2_a,,,,4.1.2,
4.1.3,group,   Các quy định của xã hội đối với kỹ thuật (32),,4.1.3,,,,4.1,
4.1.3_a,outcome,  Xác định vai trò của xã hội và các tổ chức trong việc điều tiết kỹ thuật {A},,4.1.3_a,,,,4.1.3,
4.1.3_b,outcome,  Xác định phương thức các hệ thống pháp lý và chính trị điều tiết và tác động đến kỹ thuật {cE1},,4.1.3_b,,,,4.1.3,
4.1.3_c,outcome,  Thảo luận chủ quan cách thức các tổ chức nghề nghiệp công nhận và đề ra các tiêu chuẩn {bS3},,4.1.3_c,,,,4.1.3,
4.1.3_d,outcome,  Thảo luận chủ quan cách thức trí tuệ được tạo ra__COMMA__ sử dụng__COMMA__ và bảo vệ {bS3},,4.1.3_d,,,,4.1.3,
4.1.4,group,   Bối cảnh lịch sử và văn hóa (32),,4.1.4,,,,4.1,
4.1.4_a,outcome,  Trình bàythảo luận bản chất đa dạng và lịch sử của xã hội loài người cũng như các truyền thống văn học__COMMA__ triết học và nghệ thuật của họ {aE2},,4.1.4_a,,,,4.1.4,
4.1.4_b,outcome,  Trình bàythảo luận các luận điểm và phân tích phù hợp để thảo luận về ngôn ngữ__COMMA__ tư tưởng và các giá trị {aS3},,4.1.4_b,,,,4.1.4,
4.1.5,group,   Các vấn đề và giá trị đương đại (32),,4.1.5,,,,4.1,
4.1.5_a,outcome,  Thảo luận các vấn đề và các giá trị chính trị__COMMA__ xã hội__COMMA__ pháp lý và môi trường__COMMA__ đương đại và quan trọng {aE1},,4.1.5_a,,,,4.1.5,
4.1.5_b,outcome,  Trình bày các quá trình mà các giá trị đương đại được đặt ra và vai trò bản thân trong các quá trình này {aS3},,4.1.5_b,,,,4.1.5,
4.1.5_c,outcome,  Trình bày các cơ chế để mở rộng và phổ biến kiến thức {aS3},,4.1.5_c,,,,4.1.5,
4.1.6,group,   Phát triển một quan điểm toàn cầu (32),,4.1.6,,,,4.1,
4.1.6_a,outcome,  Thảo luận về sự quốc tế hóa của hoạt động con người {aS3},,4.1.6_a,,,,4.1.6,
4.1.6_b,outcome,  Phân loại những điểm tương đồng và khác biệt trong các tập quán chính trị__COMMA__ xã hội__COMMA__ kinh tế__COMMA__ kinh doanh và kỹ thuật của các nền văn hóa khác nhau {cE2},,4.1.6_b,,,,4.1.6,
4.1.6_c,outcome,  Xác định các thỏa thuận giữa liên minh quốc tế và giữa các chính phủ {cS1},,4.1.6_c,,,,4.1.6,
4.1.7,group,   Tính bền vững và nhu cầu phát triển bền vững (32),,4.1.7,,,,4.1,
4.1.7_a,outcome,  Trình bày định nghĩa về tính bền vững {aE3},,4.1.7_a,,,,4.1.7,
4.1.7_b,outcome,  Trình bàyThảo luận mục tiêu và tầm quan trọng của tính bền vững {aS5},,4.1.7_b,,,,4.1.7,
4.1.7_c,outcome,  Xác định các nguyên tắc của tính bền vững {cS1},,4.1.7_c,,,,4.1.7,
4.1.7_d,outcome,  Tiến hành áp dụng các nguyên tắc của tính bền vững trong các nỗ lực kỹ thuật {CP},,4.1.7_d,,,,4.1.7,
4.2,group,  BỐI CẢNH DOANH NGHIỆP VÀ KINH DOANH (32),,4.2,,,,4,
4.2.1,group,   Tôn trọng các nền văn hóa doanh nghiệp khác nhau (32),,4.2.1,,,,4.2,
4.2.1_a,outcome,  Xác địnhphân loại sự khác biệt về quy trình__COMMA__ văn hóa__COMMA__ và thước đo thành công trong các nền văn hóa doanh nghiệp khác nhau {cE2},,4.2.1_a,,,,4.2.1,
4.2.1_b,outcome,   Công ty so với giáo dục__COMMA__ so với chính phủ__COMMA__ so với phi lợi nhuậnphi chính phủ,,4.2.1_b,,,,4.2.1,
4.2.1_c,outcome,   Điều tiết bởi thị trường so với điều tiết bởi chính sách,,4.2.1_c,,,,4.2.1,
4.2.1_d,outcome,   Lớn so với nhỏ,,4.2.1_d,,,,4.2.1,
4.2.1_e,outcome,   Tập trung so với phân quyền,,4.2.1_e,,,,4.2.1,
4.2.1_f,outcome,   Nghiên cứu và phát triển so với vận hành,,4.2.1_f,,,,4.2.1,
4.2.1_g,outcome,   Giai đoạn bão hòa so với giai đoạn tăng trưởng__COMMA__ giai đoạn khởi đầu,,4.2.1_g,,,,4.2.1,
4.2.1_h,outcome,   Chu trình phát triển dài hơn so với chu trình phát triển nhanh hơn,,4.2.1_h,,,,4.2.1,
4.2.1_i,outcome,   Có hoặc không có lao động có tổ chức,,4.2.1_i,,,,4.2.1,
4.2.2,group,   Các bên liên quan__COMMA__ chiến lược và mục tiêu của doanh nghiệp (32),,4.2.2,,,,4.2,
4.2.2_a,outcome,  Xác địnhphân loại các bên liên quan và các bên thụ hưởng (chủ sở hữu__COMMA__ nhân viên__COMMA__ khách hàng__COMMA__ vv) {cE1},,4.2.2_a,,,,4.2.2,
4.2.2_b,outcome,  Xác định nghĩa vụ của các bên liên quan {cE2},,4.2.2_b,,,,4.2.2,
4.2.2_c,outcome,  Xác định sứ mạng__COMMA__ quy mô và mục tiêu của doanh nghiệp {cS1},,4.2.2_c,,,,4.2.2,
4.2.2_d,outcome,  Xác định chiến lược của doanh nghiệp và phân bổ nguồn lực {cS1},,4.2.2_d,,,,4.2.2,
4.2.2_e,outcome,  Xác định năng lực chính yếu của doanh nghiệp và thị trường {cS2},,4.2.2_e,,,,4.2.2,
4.2.2_f,outcome,  Phân loại các liên minh quan trọng và mối quan hệ với nhà cung ứng {cS4},,4.2.2_f,,,,4.2.2,
4.2.3,group,   Có đầu óc kinh doanh thông qua kỹ thuật (32),,4.2.3,,,,4.2,
4.2.3_a,outcome,  Xác định các cơ hội kinh doanh nhờ công nghệ {cS2},,4.2.3_a,,,,4.2.3,
4.2.3_b,outcome,  Xác định các công nghệ có thể tạo ra các sản phẩm__COMMA__ và hệ thống mới {cS2},,4.2.3_b,,,,4.2.3,
4.2.3_c,outcome,  Trình bàythảo luận về tài chính trong kinh doanh và tổ chức {aS3},,4.2.3_c,,,,4.2.3,
4.2.4,group,   Làm việc trong các tổ chức (32),,4.2.4,,,,4.2,
4.2.4_a,outcome,  Diễn giải chức năng của quản trị {bS3},,4.2.4_a,,,,4.2.4,
4.2.4_b,outcome,  Giải thích các vai trò và trách nhiệm khác nhau trong một tổ chức {bS4},,4.2.4_b,,,,4.2.4,
4.2.4_c,outcome,  Thảo luận các vai trò của các tổ chức theo chức năng và theo chương trình {CP},,4.2.4_c,,,,4.2.4,
4.2.4_d,outcome,  Thảo luận về làm việc hiệu quả trong hệ thống cấp bậc và các tổ chức {CP},,4.2.4_d,,,,4.2.4,
4.2.4_e,outcome,  Thảo luận về sự thay đổi__COMMA__ năng động__COMMA__ và tiến triển trong các tổ chức {CP},,4.2.4_e,,,,4.2.4,
4.2.5,group,   Làm việc trong các tổ chức quốc tế (32),,4.2.5,,,,4.2,
4.2.5_a,outcome,  Diễn giải văn hóa và truyền thống của doanh nghiệp như là một sự phản ánh của nền văn hóa dân tộc {bE1},,4.2.5_a,,,,4.2.5,
4.2.5_b,outcome,  Thảo luận về tương đương trình độ và bằng cấp {aS4},,4.2.5_b,,,,4.2.5,
4.2.5_c,outcome,  Trình bày các quy định của chính phủ về làm việc quốc tế {aS4},,4.2.5_c,,,,4.2.5,
4.2.6,group,   Phát triển công nghệ mới và đánh giá (32),,4.2.6,,,,4.2,
4.2.6_a,outcome,  Trình bày về quá trình nghiên cứu và phát triển công nghệ {aE3},,4.2.6_a,,,,4.2.6,
4.2.6_b,outcome,  Tiến hành xác định và đánh giá các công nghệ {CP},,4.2.6_b,,,,4.2.6,
4.2.6_c,outcome,  Thảo luận về lộ trình phát triển công nghệ {aE1},,4.2.6_c,,,,4.2.6,
4.2.6_d,outcome,  Thảo luận về chế độ sở hữu trí tuệ và bằng sáng chế {aS4},,4.2.6_d,,,,4.2.6,
4.2.7,group,   Tài chính và kinh tế của dự án kỹ thuật (32),,4.2.7,,,,4.2,
4.2.7_a,outcome,  Xác định mục tiêu và các số liệu về tài chính và quản lý {cS5},,4.2.7_a,,,,4.2.7,
4.2.7_b,outcome,  Thảo luận về tài chính của dự án  đầu tư__COMMA__ lợi nhuận__COMMA__ thời gian {aE3},,4.2.7_b,,,,4.2.7,
4.2.7_c,outcome,  Tiến hành lên kế hoạch tài chính và kiểm soát {CP},,4.2.7_c,,,,4.2.7,
4.2.7_d,outcome,  Xác định tác động của dự án đến tài chính doanh nghiệp__COMMA__ thu nhập {cE1},,4.2.7_d,,,,4.2.7,
4.3,group,  HÌNH THÀNH Ý TƯỞNG__COMMA__ KỸ THUẬT HỆ THỐNG VÀ QUẢN LÝ (34),,4.3,,,,4,
4.3.1,group,   Hiểu nhu cầu và thiết lập các mục tiêu (32),,4.3.1,,,,4.3,
4.3.1_a,outcome,  Xác định các nhu cầu và cơ hội {cE3},,4.3.1_a,,,,4.3.1,
4.3.1_b,outcome,   Nhu cầu khách hàng và thị trường {cE3__COMMA__ bE1},,4.3.1_b,,,,4.3.1,
4.3.1_c,outcome,   Các cơ hội xuất phát từ công nghệ mới hay các nhu cầu tiềm tàng {cS2},,4.3.1_c,,,,4.3.1,
4.3.1_d,outcome,   Nhu cầu từ môi trường {cE3},,4.3.1_d,,,,4.3.1,
4.3.1_e,outcome,  Thảo luận các yếu tố thiết lập bối cảnh mục tiêu của hệ thống {aE1},,4.3.1_e,,,,4.3.1,
4.3.1_f,outcome,   Các mục tiêu__COMMA__ chiến lược__COMMA__ khả năng__COMMA__ và các liên minh của doanh nghiệp {cE1},,4.3.1_f,,,,4.3.1,
4.3.1_g,outcome,   Các đối thủ cạnh tranh và thông tin đối sánh {cE1},,4.3.1_g,,,,4.3.1,
4.3.1_h,outcome,   Các ảnh hưởng về đạo đức__COMMA__ xã hội__COMMA__ môi trường__COMMA__ pháp lý và luật lệ {bE1},,4.3.1_h,,,,4.3.1,
4.3.1_i,outcome,   Xác suất thay đổi các yếu tố ảnh hưởng đến hệ thống__COMMA__ các mục tiêu và nguồn lực sẵn có của nó {aE3},,4.3.1_i,,,,4.3.1,
4.3.1_j,outcome,  Diễn giải chủ quan các mục tiêu và yêu cầu của hệ thống {bS2},,4.3.1_j,,,,4.3.1,
4.3.1_k,outcome,   Ngôn ngữ thể thức của các mục tiêu và yêu cầu {cS1},,4.3.1_k,,,,4.3.1,
4.3.1_l,outcome,   Những mục tiêu ban đầu (dựa trên nhu cầu__COMMA__ cơ hội và các ảnh hưởng khác) {bS2},,4.3.1_l,,,,4.3.1,
4.3.1_m,outcome,   Đo lường hiệu suất của hệ thống {aS1},,4.3.1_m,,,,4.3.1,
4.3.1_n,outcome,   Sự hoàn chỉnh và nhất quán trong các yêu cầu {bE3},,4.3.1_n,,,,4.3.1,
4.3.2,group,   Xác định chức năng__COMMA__ nguyên lý và kiến trúc (32),,4.3.2,,,,4.3,
4.3.2_a,outcome,  Xác định các chức năng cần thiết của hệ thống (và các đặc tính hoạt động) {cS2},,4.3.2_a,,,,4.3.2,
4.3.2_b,outcome,  Diễn giải các nguyên lý của hệ thống {bS2},,4.3.2_b,,,,4.3.2,
4.3.2_c,outcome,  Xác định mức độ công nghệ phù hợp {cS2},,4.3.2_c,,,,4.3.2,
4.3.2_d,outcome,  Tiến hành cân đối giữa các nguyên lý và sự tái tổ hợp của chúng {CP},,4.3.2_d,,,,4.3.2,
4.3.2_e,outcome,  Tiến hành tổ chức và cấu trúc ở cấp độ cao {cS2},,4.3.2_e,,,,4.3.2,
4.3.2_f,outcome,  Thảo luận về sự phân tách tổ chức thành các thành phần__COMMA__ phân nhiệm cho các thành phần__COMMA__ và xác định các giao diện {CP},,4.3.2_f,,,,4.3.2,
4.3.3,group,   Kỹ thuật hệ thống__COMMA__ mô hình hóa và các giao diện (32),,4.3.3,,,,4.3,
4.3.3_a,outcome,  Xác định các mô hình phù hợp về hiệu suất kỹ thuật và các thuộc tính khác {cS2},,4.3.3_a,,,,4.3.3,
4.3.3_b,outcome,  Xem xét thực hiện và vận hành {aS3},,4.3.3_b,,,,4.3.3,
